"Rank";"Rank_Last_Month";"Title";"Publisher";"Genre";"Date"
1;"1";"Mortal Kombat 11";"Warner Bros. Interactive";"Fighting";"2019-05-30"
2;"2";"Days Gone";"Sony (Corp)";"Action";"2019-05-30"
3;"NEW";"Total War: Three Kingdoms";"Sega";"Action";"2019-05-30"
4;"NEW";"Rage 2*";"Bethesda Softworks";"Shooter";"2019-05-30"
5;"6";"Grand Theft Auto V";"Take 2 Interactive (Corp)";"Action";"2019-05-30"
6;"5";"Super Smash Bros. Ultimate*";"Nintendo";"Platform";"2019-05-30"
7;"11";"Red Dead Redemption II";"Take 2 Interactive (Corp)";"Shooter";"2019-05-30"
9;"14";"Minecraft#";"Multiple Video Game Manufacturers";"Puzzle";"2019-05-30"
55;"102";"Barbie Adventure Game";"Nevermind Games";"Role-Playing";"2019-05-30"
